DiversidadeLexica,TamanhoMedioDasPalavras,TamanhoMedioSentencas,StdevSentencas,TamanhoMedioParagrafos,StdevTamParagrafos,Ponto,Virgulas,Exclamacoes,DoisPontos,Travessao,PalavrasUnicasCada100,FrequenciaDeParagrafos,FreqAdjetivos,FreqAdv,FreqArt,FreqSubs,FreqPrep,FreqVerb,FreqVerbosPtcp,FreqConj,FreqPronomes,FreqTermosNaoTageados,FreqPalavrasErradas,FreqVogais,FreqLetrasA,FreqLetrasE,FreqLetrasI,FreqLetrasO,FreqLetrasU,FrequenciaConsoantes,FrequenciaDeHapaxLegomenaLocal,FrequenciaDeBigrams,FrequenciaDeTrigrams,FrequenciaDeQuadrigrams,TamanhoMaisFrequenteDePalavras,TamanhoMaiorPalavra,GuiraudR,HerdanC,HerdanV,MedidaK,DugastU,MaasA,MedidaLN,HonoresH,FrequenciaFrasesNominais,FrequenciaPalavrasDuplicadas,FrequenciaStopWords,Author
44.30379747,6.41714286,29.66666667,14.55067772,44.5,24.19710727,2.7848101265822787,5.316455696202532,0.2531645569620253,0.0,0.0,0.11216151257811248,0.020253164556962026,0.020253164556962026,0.0379746835443038,0.11645569620253166,0.18987341772151897,0.035443037974683546,0.022784810126582282,0.14430379746835442,0.06582278481012659,0.10379746835443038,0.07848101265822785,0.0379746835443038,2.156962025316456,0.6050632911392405,0.6379746835443038,0.26582278481012656,0.4075949367088608,0.2405063291139241,2.4708860759493665,0.26075949,0.0379746835443038,0.05063291139240506,0.05063291139240506,2,15,8.80520559,0.86383754,175.0,2.39693367,63.34865625,0.12564097,-0.11592872,0.58857143,0.02531646,0.1164557,0.40506329,'PDJE'
52.64797508,6.53846154,32.44444444,16.80681813,97.33333333,9.80929265,2.803738317757009,4.984423676012462,0.0,0.0,0.9345794392523364,0.16401238342019195,0.009345794392523364,0.04672897196261682,0.024922118380062305,0.08099688473520249,0.1838006230529595,0.06542056074766353,0.02803738317757009,0.1059190031152648,0.04361370716510903,0.09034267912772584,0.08099688473520249,0.07165109034267912,2.2461059190031154,0.4641744548286604,0.6635514018691588,0.4018691588785047,0.5295950155763239,0.18691588785046728,2.5763239875389408,0.36448598,0.012461059190031152,0.024922118380062305,0.03426791277258567,2,17,9.43266017,0.8888419,169.0,2.42040891,74.90619004,0.11554234,-0.12009529,0.69230769,0.02803738,0.09345794,0.36448598,'FADJ'
80.70175439,5.0,25.0,6.0,50.0,0.0,3.5087719298245608,8.771929824561402,0.0,0.0,0.0,1.4158202523853491,0.017543859649122806,0.14035087719298245,0.017543859649122806,0.03508771929824561,0.19298245614035087,0.03508771929824561,0.0,0.14035087719298245,0.07017543859649122,0.10526315789473684,0.08771929824561403,0.07017543859649122,2.0,0.543859649122807,0.631578947368421,0.2982456140350877,0.2982456140350877,0.2280701754385965,2.245614035087719,0.68421053,0.0,0.0,0.0,3,11,6.09284884,0.9469683000000001,46.0,2.17103151,109.98874827,0.09535114,-0.17136058,0.84782609,0.05263158,0.07017544,0.36842105,'SDJME'
52.65486726,6.83613445,26.86666667,14.40308609,80.6,74.81604106,3.31858407079646,4.424778761061948,0.0,0.4424778761061947,0.0,0.11649306915185215,0.011061946902654869,0.04646017699115045,0.033185840707964605,0.07964601769911504,0.2190265486725664,0.033185840707964605,0.02212389380530973,0.11061946902654868,0.0752212389380531,0.08849557522123894,0.06415929203539822,0.04646017699115045,2.168141592920354,0.5619469026548672,0.6969026548672567,0.3783185840707965,0.3893805309734513,0.1415929203539823,2.5486725663716814,0.37168142,0.015486725663716812,0.02433628318584071,0.030973451327433624,2,16,11.19457833,0.89508589,238.0,2.51362641,84.07047648,0.10906320000000001,-0.11337438,0.70588235,0.04424779,0.09070796,0.35840708,'SDFI'
69.23076923,5.67901235,26.75,14.11338018,107.0,0.0,3.418803418803418,5.128205128205129,0.0,0.0,0.0,0.5917159763313609,0.008547008547008548,0.05128205128205128,0.017094017094017096,0.08547008547008547,0.2222222222222222,0.034188034188034185,0.017094017094017096,0.1452991452991453,0.07692307692307693,0.07692307692307693,0.042735042735042736,0.02564102564102564,2.102564102564102,0.6068376068376068,0.6239316239316239,0.2905982905982906,0.4358974358974359,0.1452991452991453,2.358974358974359,0.55555556,0.0,0.0,0.0,2,11,7.48845265,0.92278216,81.0,2.28020442,88.97380203,0.10601539,-0.1455305,0.80246914,0.04273504,0.04273504,0.39316239,'BMM'
63.73056995,5.80487805,20.5,6.53834842,54.66666667,10.53037933,4.1450777202072535,8.290155440414507,0.0,0.5181347150259067,0.0,0.3302102069854225,0.015544041450777204,0.06735751295336788,0.031088082901554407,0.05181347150259067,0.2020725388601036,0.02590673575129533,0.02072538860103627,0.062176165803108814,0.05181347150259067,0.06735751295336788,0.07253886010362694,0.056994818652849735,1.9222797927461142,0.4974093264248705,0.533678756476684,0.3212435233160621,0.4352331606217617,0.13471502590673576,2.295336787564767,0.47668394,0.02072538860103627,0.02590673575129533,0.031088082901554407,2,13,8.85373373,0.91439628,123.0,2.37386078,88.69307828,0.10618304,-0.13170096,0.74796748,0.02590674,0.08290155,0.31606218,'SDJME'
67.51592357,6.59433962,20.42857143,7.08836356,143.0,0.0,4.4585987261146505,4.4585987261146505,0.0,0.0,0.0,0.4300377297253438,0.006369426751592357,0.05732484076433121,0.050955414012738856,0.08280254777070062,0.2356687898089172,0.03821656050955414,0.03184713375796178,0.12101910828025478,0.025477707006369428,0.08280254777070062,0.044585987261146494,0.050955414012738856,2.2547770700636938,0.5668789808917197,0.643312101910828,0.3375796178343949,0.5732484076433121,0.1337579617834395,2.8471337579617835,0.53503185,0.006369426751592357,0.006369426751592357,0.006369426751592357,2,16,8.45972098,0.92231258,106.0,2.34681285,93.89706059,0.10319865,-0.13707512,0.79245283,0.03821656,0.05095541,0.35031847,'BMM'
60.70038911,6.3974359000000005,17.38461538,15.27964187,56.5,57.51738868,3.891050583657588,4.669260700389105,0.0,1.5564202334630348,0.0,0.23618828445548,0.01556420233463035,0.07003891050583658,0.02334630350194553,0.07392996108949416,0.20622568093385213,0.04669260700389105,0.019455252918287938,0.09727626459143968,0.06614785992217899,0.0622568093385214,0.09727626459143968,0.05447470817120623,2.1789883268482493,0.5719844357976653,0.5447470817120622,0.4046692607003891,0.44357976653696496,0.2140077821011673,2.3735408560311284,0.48249027,0.011673151750972765,0.01556420233463035,0.01556420233463035,2,16,9.73101264,0.91003546,156.0,2.4276468999999996,88.98644449999999,0.10600786,-0.12490705,0.79487179,0.04669261,0.06225681,0.36575875,'SDJME'
56.04651163,6.38174274,16.95238095,9.90659324,59.33333333,45.88633299,4.418604651162791,3.72093023255814,0.0,4.418604651162791,0.4651162790697674,0.13034072471606276,0.013953488372093023,0.04418604651162791,0.02093023255813953,0.07674418604651162,0.2302325581395349,0.03255813953488372,0.011627906976744186,0.07209302325581396,0.04418604651162791,0.06744186046511629,0.10697674418604652,0.09767441860465116,1.9744186046511627,0.4488372093023256,0.5744186046511628,0.3023255813953488,0.4744186046511628,0.1744186046511628,2.23953488372093,0.45348837,0.002325581395348837,0.009302325581395349,0.01627906976744186,2,16,11.62205201,0.90451702,241.0,2.52889972,91.62044324,0.10447294,-0.11430735,0.80912863,0.02325581,0.05581395,0.31395349,'BMM'
57.74647887,6.11382114,37.2,17.31357849,186.0,0.0,1.8779342723004693,4.694835680751174,0.0,0.4694835680751174,0.0,0.27111022945182833,0.004694835680751174,0.056338028169014086,0.014084507042253518,0.12206572769953053,0.2206572769953052,0.03286384976525822,0.009389671361502348,0.1267605633802817,0.061032863849765265,0.046948356807511735,0.07981220657276995,0.051643192488262914,2.126760563380281,0.6291079812206573,0.4882629107981221,0.3708920187793428,0.4225352112676056,0.215962441314554,2.3849765258215956,0.3943662,0.004694835680751174,0.009389671361502348,0.023474178403755867,2,21,8.42782113,0.8975791999999999,123.0,2.35232055,75.51893692,0.11507264,-0.12927879,0.68292683,0.04225352,0.09859155,0.39906103,'PDJE'
