DiversidadeLexica,TamanhoMedioDasPalavras,TamanhoMedioSentencas,StdevSentencas,TamanhoMedioParagrafos,StdevTamParagrafos,FrequenciaDeParagrafos,FrequenciaPalavrasDuplicadas,MediaSilabasPorPalavra,Monossilabas,Ponto,Virgulas,Exclamacoes,DoisPontos,Citacoes,QuebrasDeLinha,Digitos,Adjetivos,Adverbios,Artigos,Substantivos,Preposicoes,Verbos,VerbosPtcp,Conjuncoes,Pronomes,PronomesPorPreposicao,TermosNaoTageados,PalavrasDeConteudo,PalavrasFuncionais,FrasesNominais,FrasesVerbais,GenMasc,GenFem,SemGenero,Singular,Plural,PrimeiraPessoa,TerceiraPessoa,Passado,Presente,Futuro,TotalEntidadesNomeadas,EntAbstracao,EntAcontecimento,EntCoisa,EntLocal,EntOrganizacao,EntObra,EntOutro,EntPessoa,EntTempo,EntValor,GuiraudR,HerdanC,HerdanV,MedidaK,DugastU,MaasA,HonoresH,PalavrasErroOrtografico,HapaxLegomenaLocal,PalavrasComunsTam2,PalavrasComunsTam3,PalavrasComunsTam4,StopWords,BRFleshIndex,OperadoresLogicos,PalavrasCapitalizadas,Global hapax,top 1-gram,top 3-gram,top 4-gram,top 5-gram,Author
37.5,6.3903,18.4507,10.415,52.4,27.6405,0.016191709844559584,0.0816,1.97279792746114,0.05375647668393782,3.821243523316062,5.699481865284973,0.5181347150259067,0.3886010362694301,0.03626943005181347,0.03173575129533679,0.04080310880829016,0.04339378238341969,0.06411917098445596,0.07577720207253888,0.14443005181347152,0.10492227979274613,0.019430051813471502,0.10686528497409327,0.05634715025906736,0.08678756476683938,0.8271604938271605,0.09974093264248704,0.4319948186528497,0.23704663212435234,0.0149,0.1179,0.2551813471502591,0.23251295336787564,0.0032383419689119173,0.3866580310880829,0.1955958549222798,0.01295336787564767,0.0977979274611399,0.017487046632124352,0.05569948186528497,0.003886010362694301,0.1062,0.06707317073170732,0.06707317073170732,0.018292682926829267,0.09146341463414634,0.04878048780487805,0.06097560975609756,0.06097560975609756,0.03048780487804878,0.36585365853658536,0.18902439024390244,14.7352,0.8664,579.0,2.6953,79.2913,0.1123,0.6874,0.02914507772020725,0.2578,0.01295336787564767,0.01295336787564767,0.01295336787564767,0.3912,415.6929468911917,0.04598445595854922,0.060233160621761664,0.025414085219370337,2.56,0.0,0.03,0.03,'SP'
38.3144,6.2852,18.1471,7.9729,45.7037,18.5469,0.019121813031161474,0.0857,1.985835694050992,0.05028328611898017,4.178470254957508,6.373937677053824,0.28328611898017,0.28328611898017,0.0056657223796034,0.0396600566572238,0.015580736543909348,0.0453257790368272,0.0453257790368272,0.08569405099150143,0.17209631728045327,0.1076487252124646,0.0141643059490085,0.12960339943342775,0.06940509915014165,0.07577903682719547,0.7039473684210527,0.058073654390934835,0.4631728045325779,0.26274787535410765,0.0099,0.1381,0.2896600566572238,0.22592067988668554,0.0028328611898017,0.4157223796033994,0.18980169971671387,0.009915014164305949,0.08994334277620397,0.0084985835694051,0.06869688385269122,0.004957507082152974,0.1225,0.05202312138728324,0.06358381502890173,0.07514450867052024,0.12716763005780346,0.08092485549132948,0.06936416184971098,0.05780346820809248,0.04046242774566474,0.3005780346820809,0.1329479768786127,14.3973,0.8677,541.0,2.6805,79.1056,0.1124,0.6636,0.031161473087818695,0.2542,0.0141643059490085,0.0141643059490085,0.0141643059490085,0.3931,416.7921317280454,0.04461756373937677,0.0594900849858357,0.024075319435104235,2.3,0.01,0.03,0.03,'SP'
44.3262,6.3787,15.25,9.1047,38.5263,17.7567,0.02245862884160757,0.0697,2.0508274231678487,0.060283687943262415,4.491725768321513,6.973995271867612,1.0638297872340423,0.5910165484633569,0.0023640661938534283,0.046099290780141834,0.007092198581560284,0.05200945626477541,0.05555555555555555,0.07092198581560284,0.14657210401891252,0.10520094562647754,0.014184397163120569,0.15484633569739953,0.0768321513002364,0.11347517730496455,1.0786516853932584,0.047281323877068564,0.4349881796690308,0.2529550827423168,0.0095,0.1584,0.26595744680851063,0.1784869976359338,0.016548463356974,0.4373522458628842,0.12647754137115838,0.034278959810874705,0.09456264775413713,0.0047281323877068565,0.07801418439716312,0.011820330969267141,0.1217,0.08737864077669902,0.10679611650485436,0.009708737864077669,0.14563106796116504,0.03883495145631068,0.08737864077669902,0.03883495145631068,0.009708737864077669,0.2912621359223301,0.18446601941747573,12.8928,0.8793,375.0,2.6056,80.5664,0.1114,0.7093,0.02836879432624113,0.3144,0.016548463356974,0.023640661938534282,0.023640661938534282,0.4066,422.2894089834516,0.05555555555555555,0.03546099290780142,0.024939306996248068,1.32,0.0,0.03,0.03,'SP'
43.8429,6.4237,12.9206,7.3318,31.3077,18.4803,0.027600849256900213,0.0732,2.0392781316348194,0.05626326963906582,4.246284501061571,6.369426751592357,1.4861995753715498,0.3184713375796178,0.002123142250530785,0.05626326963906582,0.006369426751592357,0.04989384288747346,0.05732484076433121,0.07855626326963906,0.16666666666666666,0.09023354564755838,0.007430997876857749,0.15711252653927812,0.07218683651804671,0.10084925690021232,1.1176470588235294,0.04777070063694268,0.4607218683651805,0.24097664543524416,0.0159,0.1815,0.291932059447983,0.17728237791932058,0.010615711252653929,0.40870488322717613,0.17303609341825898,0.01592356687898089,0.10934182590233546,0.006369426751592357,0.08492569002123143,0.009554140127388536,0.0987,0.07526881720430108,0.0967741935483871,0.053763440860215055,0.12903225806451613,0.04301075268817205,0.08602150537634409,0.07526881720430108,0.053763440860215055,0.25806451612903225,0.12903225806451613,13.4563,0.8796,413.0,2.6298,82.0506,0.1104,0.7143,0.032908704883227176,0.3132,0.013800424628450108,0.021231422505307854,0.021231422505307854,0.396,421.31375265392785,0.053078556263269634,0.0435244161358811,0.021415823914336704,1.34,0.0,0.03,0.03,'SP'
42.9654,6.267,13.0667,7.8078,32.6667,21.9425,0.025974025974025976,0.0736,1.998917748917749,0.06277056277056277,4.112554112554113,7.251082251082251,1.83982683982684,0.3246753246753247,0.008658008658008658,0.05303030303030303,0.027056277056277056,0.045454545454545456,0.06493506493506493,0.08116883116883117,0.15800865800865802,0.10822510822510822,0.012987012987012988,0.1461038961038961,0.05411255411255411,0.10064935064935067,0.93,0.05194805194805195,0.4426406926406927,0.2435064935064935,0.013000000000000001,0.1688,0.24783549783549785,0.1915584415584416,0.011904761904761904,0.3647186147186147,0.18614718614718612,0.015151515151515154,0.11038961038961037,0.006493506493506494,0.08116883116883117,0.006493506493506494,0.0779,0.09722222222222222,0.05555555555555555,0.013888888888888888,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.0,0.3194444444444444,0.3194444444444444,13.0603,0.8763,397.0,2.6158,79.6362,0.1121,0.7204,0.03787878787878788,0.3095,0.0183982683982684,0.021645021645021644,0.021645021645021644,0.3918,417.9006006493507,0.042207792207792215,0.041125541125541135,0.024480559555646986,1.4,0.01,0.03,0.03,'SP'
37.4412,6.3266,13.7463,8.6927,40.0435,20.1957,0.021636876763875827,0.064,2.013170272812794,0.04797742238946378,5.174035747883348,5.079962370649106,1.1288805268109126,0.5644402634054563,0.011288805268109126,0.04421448730009407,0.011288805268109126,0.04045155221072436,0.04985888993414864,0.06773283160865473,0.17309501411100658,0.10912511759172154,0.012229539040451551,0.14111006585136407,0.07243650047036689,0.09689557855126997,0.8879310344827586,0.03857008466603951,0.4656632173095014,0.2492944496707432,0.0094,0.1684,0.2699905926622766,0.19379115710254,0.015051740357478834,0.4807149576669802,0.09313264346190027,0.002822201317027281,0.1185324553151458,0.005644402634054563,0.07902163687676388,0.002822201317027281,0.0997,0.05660377358490566,0.08490566037735849,0.03773584905660377,0.1509433962264151,0.05660377358490566,0.11320754716981132,0.07547169811320754,0.03773584905660377,0.2075471698113208,0.1792452830188679,12.2072,0.8590000000000001,398.0,2.5938,71.3196,0.1184,0.7085,0.01317027281279398,0.2653,0.01881467544684854,0.01881467544684854,0.01881467544684854,0.4008,419.0957337723424,0.0555032925682032,0.04891815616180621,0.023813819231463106,1.78,0.03,0.03,0.03,'SP'
43.7639,5.9949,17.5909,7.231,40.7368,19.0728,0.021158129175946547,0.0802,1.9966592427616927,0.07126948775055679,3.0066815144766146,6.6815144766147005,1.55902004454343,0.8908685968819601,0.004454342984409799,0.04342984409799554,0.04342984409799554,0.03006681514476615,0.05456570155902005,0.06792873051224944,0.17928730512249444,0.10022271714922047,0.0133630289532294,0.1158129175946548,0.07238307349665925,0.09242761692650334,0.9222222222222222,0.066815144766147,0.44543429844098004,0.2405345211581292,0.01,0.1225,0.2661469933184855,0.21492204899777284,0.008908685968819599,0.3864142538975501,0.1959910913140312,0.0022271714922049,0.11915367483296214,0.0200445434298441,0.06347438752783964,0.0011135857461024498,0.0991,0.05617977528089888,0.0898876404494382,0.033707865168539325,0.11235955056179776,0.05617977528089888,0.0898876404494382,0.0449438202247191,0.033707865168539325,0.2696629213483146,0.21348314606741567,13.1146,0.8785,393.0,2.6161,80.7318,0.1113,0.6972,0.03897550111358575,0.3051,0.0155902004454343,0.022271714922049,0.022271714922049,0.3953,417.72185412026727,0.05456570155902005,0.0556792873051225,0.03106255355612682,1.47,0.01,0.03,0.03,'SP'
46.7797,6.5097,18.1707,9.0524,41.3889,23.9099,0.020338983050847456,0.0701,2.0576271186440684,0.07005649717514124,3.7288135593220337,8.022598870056497,0.6779661016949152,0.9039548022598871,0.015819209039548022,0.04067796610169491,0.012429378531073449,0.03728813559322034,0.04745762711864407,0.07909604519774012,0.14350282485875707,0.0903954802259887,0.01807909604519774,0.13559322033898305,0.06666666666666668,0.1016949152542373,1.125,0.08587570621468926,0.41129943502824856,0.2361581920903955,0.0045,0.1989,0.2384180790960452,0.2192090395480226,0.010169491525423728,0.4350282485875706,0.1310734463276836,0.02824858757062147,0.0903954802259887,0.015819209039548022,0.06440677966101695,0.006779661016949152,0.0847,0.02666666666666667,0.09333333333333334,0.013333333333333334,0.09333333333333334,0.09333333333333334,0.08,0.12,0.10666666666666667,0.2533333333333333,0.12,13.9165,0.888,414.0,2.6414,87.4369,0.1069,0.7464,0.04293785310734463,0.3492,0.015819209039548022,0.020338983050847456,0.02259887005649717,0.3695,422.8666723163842,0.04406779661016949,0.04293785310734463,0.031950909860347015,1.5,0.0,0.03,0.03,'SP'
43.5009,6.4402,20.4167,23.0866,57.6471,36.4933,0.014731369150779897,0.0685,2.010398613518197,0.057192374350086665,3.466204506065858,6.58578856152513,0.08665511265164645,0.6932409012131716,0.03292894280762565,0.031195840554592718,0.0077989601386481795,0.05025996533795494,0.04072790294627383,0.08665511265164645,0.16204506065857885,0.09358752166377816,0.008665511265164644,0.12564991334488734,0.07538994800693241,0.10051993067590988,1.074074074074074,0.09185441941074524,0.4194107452339688,0.25563258232235697,0.0121,0.1594,0.2972270363951473,0.20623916811091852,0.008665511265164644,0.4289428076256499,0.17764298093587522,0.021663778162911613,0.1048526863084922,0.015597920277296359,0.0684575389948007,0.0008665511265164643,0.1049,0.04958677685950413,0.09090909090909093,0.04958677685950413,0.0743801652892562,0.05785123966942149,0.05785123966942149,0.10743801652892562,0.033057851239669415,0.3057851239669421,0.17355371900826447,14.7775,0.8819,502.0,2.6808,86.1684,0.1077,0.755,0.0389948006932409,0.3284,0.0077989601386481795,0.011265164644714037,0.01733102253032929,0.3839,418.8786611785096,0.054592720970537266,0.043327556325823226,0.030957161981258367,1.96,0.01,0.0,0.0,'SP'
48.0556,6.2139,16.2368,8.9013,41.1333,27.7798,0.02083333333333333,0.0681,2.0819444444444444,0.08055555555555556,4.583333333333333,5.416666666666668,0.8333333333333334,0.8333333333333334,0.022222222222222227,0.04305555555555556,0.030555555555555555,0.05416666666666667,0.04722222222222222,0.0875,0.17916666666666667,0.10138888888888888,0.006944444444444444,0.12361111111111113,0.05,0.09583333333333334,0.9452054794520548,0.06666666666666668,0.4625,0.2388888888888889,0.0097,0.1389,0.2791666666666667,0.21666666666666667,0.006944444444444444,0.4777777777777778,0.13472222222222222,0.022222222222222227,0.09861111111111112,0.018055555555555557,0.08333333333333333,0.0,0.0986,0.028169014084507043,0.04225352112676056,0.028169014084507043,0.14084507042253522,0.028169014084507043,0.08450704225352113,0.08450704225352113,0.028169014084507043,0.2535211267605634,0.28169014084507044,12.8947,0.8886,346.0,2.5979,85.2186,0.1083,0.7428,0.04027777777777778,0.3569,0.0125,0.025,0.027777777777777776,0.3861,424.9195694444445,0.04166666666666666,0.05833333333333333,0.03337713534822602,1.23,0.01,0.03,0.03,'SP'
